"entity_type","entity_id","pb_id","population_id","observations","unique_source_units","unique_authors","independent_threads","platforms_n","label","saturation"
"ALL:AD","AD-05","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:AD","AD-06","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:AD","AD-06","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"MARKET_VOC:PP","PP-01","PB-01","ALL","6","3","6","3","2","VALIDATED","STRONG"
"OWNED_PROOF:PP","PP-01","PB-01","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:PP","PP-01","PB-01","ALL","8","5","8","5","3","VALIDATED","MODERATE"
"MARKET_VOC:PP","PP-02","PB-06","ALL","7","6","6","6","3","VALIDATED","STRONG"
"OWNED_PROOF:PP","PP-02","PB-06","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:PP","PP-02","PB-06","ALL","10","9","9","9","4","VALIDATED","MODERATE"
"MARKET_VOC:PP","PP-03","PB-05","ALL","8","8","8","8","3","VALIDATED","STRONG"
"ALL:PP","PP-03","PB-05","ALL","8","8","8","8","3","VALIDATED","MODERATE"
"MARKET_VOC:PP","PP-04","PB-03","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"PRODUCT_TRUTH:PP","PP-04","PB-03","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:PP","PP-04","PB-03","ALL","5","5","5","5","1","SUPPORTED","EARLY SIGNAL"
"ALL:PP","PP-04","PB-03","ALL","7","7","7","7","3","VALIDATED","MODERATE"
"MARKET_VOC:PP","PP-05","PB-02","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:PP","PP-05","PB-02","ALL","7","7","7","7","1","SUPPORTED","EARLY SIGNAL"
"ALL:PP","PP-05","PB-02","ALL","8","8","8","8","2","VALIDATED","MODERATE"
"MARKET_VOC:PP","PP-06","PB-04","ALL","2","1","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:PP","PP-06","PB-04","ALL","4","4","4","4","1","SUPPORTED","EARLY SIGNAL"
"ALL:PP","PP-06","PB-04","ALL","6","5","6","6","2","VALIDATED","MODERATE"
"OWNED_PROOF:PP","PP-07","PB-07","ALL","6","6","6","6","1","SUPPORTED","EARLY SIGNAL"
"ALL:PP","PP-07","PB-07","ALL","6","6","6","6","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:belief_required","BR-01","ALL","ALL","3","3","3","3","2","VALIDATED","STRONG"
"ALL:belief_required","BR-01","ALL","ALL","3","3","3","3","2","VALIDATED","MODERATE"
"OWNED_PROOF:belief_required","BR-02","ALL","ALL","4","4","4","4","1","SUPPORTED","EARLY SIGNAL"
"ALL:belief_required","BR-02","ALL","ALL","4","4","4","4","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:belief_required","BR-03","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:belief_required","BR-03","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:belief_required","BR-03","ALL","ALL","4","4","4","4","2","VALIDATED","MODERATE"
"MARKET_VOC:belief_required","BR-04","ALL","ALL","2","2","2","2","2","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:belief_required","BR-04","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:belief_required","BR-04","ALL","ALL","3","3","3","3","3","VALIDATED","MODERATE"
"OWNED_PROOF:belief_required","BR-05","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:belief_required","BR-05","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:belief_required","BR-06","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"PRODUCT_TRUTH:belief_required","BR-06","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:belief_required","BR-06","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:belief_required","BR-06","ALL","ALL","4","4","4","4","3","VALIDATED","MODERATE"
"OWNED_PROOF:belief_required","BR-07","ALL","ALL","4","4","4","4","1","SUPPORTED","EARLY SIGNAL"
"ALL:belief_required","BR-07","ALL","ALL","4","4","4","4","1","SUPPORTED","EARLY SIGNAL"
